記録日時,開示日時,コード,銘柄名,セクター,判定,タイトル,PDFリンク,通知
2026-07-14 07:24:30,2026-07-14 15:30:00,6966,三井ハイテック,半導体材料(リードフレーム),その他,連結子会社からの配当金受領に関するお知らせ,https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120260714593005.pdf,通知
2026-07-15 06:29:04,2026-07-15 15:00:00,3774,インターネットイニシアティブ,データセンター(通信),その他,在籍条件型譲渡制限付株式報酬としての自己株式の処分の払込完了に関するお知らせ,https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120260708589962.pdf,通知
2026-07-15 07:30:22,2026-07-15 15:30:00,6254,野村マイクロ・サイエンス,半導体(超純水装置),その他,ストックオプション（新株予約権）発行に関するお知らせ,https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120260701586290.pdf,通知
2026-07-15 07:30:23,2026-07-15 15:30:00,6890,フェローテックホールディングス,半導体(部材),その他,資本コストや株価を意識した経営の実現に向けたに取り組みついて,https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120260715594358.pdf,通知
2026-07-15 07:30:25,2026-07-15 15:30:00,6890,フェローテックホールディングス,半導体(部材),その他,リストリクテッド・ストック・ユニット（RSU）としての自己株式処分に関するお知らせ,https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120260715594240.pdf,通知
2026-07-17 06:28:23,2026-07-17 13:00:00,285A,キオクシアホールディングス,半導体デバイス(メモリ),悪材料?,当社子会社に対する訴訟の陪審評決に関するお知らせ,https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120260717595788.pdf,通知
2026-07-22 07:42:08,2026-07-22 15:30:00,6963,ローム,半導体デバイス(パワー),その他,譲渡制限付株式(RS)報酬としての自己株式の処分の払込完了に関するお知らせ,https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120260722597207.pdf,通知
2026-07-22 07:42:10,2026-07-22 15:30:00,6963,ローム,半導体デバイス(パワー),その他,業績連動型譲渡制限付株式(PSRSU)報酬としての自己株式の処分の払込完了に関するお知らせ,https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120260722597217.pdf,通知
2026-07-22 15:23:27,2026-07-22 19:35:00,6890,フェローテックホールディングス,半導体(部材),その他,（開示事項の訂正）2026年12月期通期連結業績予想の修正に関するお知らせ,https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120260722597893.pdf,通知
2026-07-22 15:23:29,2026-07-22 18:30:00,6890,フェローテックホールディングス,半導体(部材),その他,2026年12月期通期連結業績予想の修正に関するお知らせ,https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120260722597821.pdf,通知
2026-07-23 07:44:00,2026-07-23 16:00:00,6146,ディスコ,半導体製造装置(ダイサ),その他,2027年3月期第1四半期決算短信〔日本基準〕（連結）,https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120260721597094.pdf,通知
2026-07-23 07:44:02,2026-07-23 16:00:00,6146,ディスコ,半導体製造装置(ダイサ),その他,2027年3月期第1四半期業績予想値と実績値との差異ならびに第2四半期業績予想および配当予想に関するお知らせ,https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120260721597097.pdf,通知
2026-07-23 07:44:04,2026-07-23 16:00:00,6146,ディスコ,半導体製造装置(ダイサ),その他,譲渡制限付株式報酬としての新株式の発行に関するお知らせ,https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120260721597122.pdf,通知
2026-07-23 07:44:05,2026-07-23 16:00:00,6146,ディスコ,半導体製造装置(ダイサ),その他,当社執行役に対するストックオプション（新株予約権）の募集事項に関するお知らせ,https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120260721597124.pdf,通知
2026-07-23 07:44:06,2026-07-23 15:30:00,6315,TOWA,半導体製造装置(モールド),その他,譲渡制限付株式報酬としての新株式発行に関するお知らせ,https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120260723597160.pdf,通知
2026-07-24 07:41:14,2026-07-24 15:30:00,4063,信越化学工業,半導体材料(ウエハ),その他,2027年３月期 第１四半期決算短信〔日本基準〕（連結）,https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120260724598954.pdf,通知
2026-07-24 07:41:16,2026-07-24 15:30:00,4063,信越化学工業,半導体材料(ウエハ),その他,業績予想および配当予想に関するお知らせ,https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120260724598982.pdf,通知
2026-07-24 07:41:17,2026-07-24 15:30:00,4063,信越化学工業,半導体材料(ウエハ),その他,自己株式立会外買付取引（ToSTNeT-3）による自己株式の買付けに関するお知らせ（コミットメント型自己株式取得（FCSR）による自己株式取得）,https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120260724598998.pdf,通知
2026-07-24 07:41:19,2026-07-24 15:30:00,5805,SWCC,光ケーブル(電線),その他,取締役等に対する譲渡制限付株式報酬としての自己株式の処分の払込完了に関するお知らせ,https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120260723598552.pdf,通知
2026-07-24 07:41:20,2026-07-24 14:30:00,5803,フジクラ,光ケーブル,その他,譲渡制限付株式報酬としての自己株式の処分の払込完了に関するお知らせ,https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120260724597935.pdf,通知
